binning_ppost,ppost_gen,ppost_data,binning_pgen,pgen_gen,pgen_data,binning_Q,Q_gen,Q_data
-17.0,0.0008871320943020072,0.000185771363292573,-17.0,0.00023716083751260136,0.00015640512856993763,-3.0,0.0013780507881081985,1.2143052145451035e-05
-16.797101449275363,0.0014555137700252366,0.0003000922022418474,-16.797101449275363,0.00043346575101901104,0.00023566825582522333,-2.927536231884058,0.0026412723549164964,2.3269959398587444e-05
-16.594202898550726,0.0017576015336153777,0.00035546635860790187,-16.594202898550726,0.0005899934447834195,0.0002535303690095128,-2.8550724637681157,0.0037531203397978786,3.2205276242646224e-05
-16.391304347826086,0.0020075413584448158,0.00043048940916836487,-16.391304347826086,0.0007292233451684979,0.00027965370954153657,-2.782608695652174,0.004770218728188679,3.9744298976956756e-05
-16.18840579710145,0.002296669279266027,0.0005769629840721247,-16.18840579710145,0.0008629826739280418,0.0003505439712416866,-2.710144927536232,0.005798703131520908,5.030520628413642e-05
-15.985507246376812,0.0026070883703504808,0.0007055739278900585,-15.985507246376812,0.0009985141596930403,0.00045135327252552216,-2.63768115942029,0.006942479473749062,6.863201903317429e-05
-15.782608695652174,0.0029199760029147365,0.0007448717162788722,-15.782608695652174,0.0011513049136850772,0.000551604382772349,-2.5652173913043477,0.008274229832736405,9.341171389528377e-05
-15.579710144927535,0.003268657486936053,0.0007823832415591052,-15.579710144927535,0.0013360908066560317,0.0006336584652126807,-2.4927536231884058,0.009827466345920336,0.00011633048782633726
-15.376811594202898,0.003694789459885989,0.0008609788183367325,-15.376811594202898,0.0015577452703709033,0.0007046603651202327,-2.420289855072464,0.011605061446086012,0.00013089804720297602
-15.173913043478262,0.004204234707779062,0.0009770859203945884,-15.173913043478262,0.001820351970972697,0.0008023437965968174,-2.3478260869565215,0.013601793486375344,0.00014282749169291676
-14.971014492753623,0.004745770994909505,0.001146780915709919,-14.971014492753623,0.002134986889745507,0.0009617631567666044,-2.2753623188405796,0.01582571565020669,0.00016909278556029864
-14.768115942028984,0.005281753063710414,0.0012843231750707684,-14.768115942028984,0.002511897717199137,0.0011591395074530071,-2.2028985507246377,0.018301047145730203,0.0002247369764092806
-14.565217391304348,0.005956590590749884,0.0013450561207625708,-14.565217391304348,0.0029559964102508765,0.0013389886595773246,-2.1304347826086953,0.02105390421783708,0.0003119673433468025
-14.36231884057971,0.006886922160948321,0.0014272242237573598,-14.36231884057971,0.0034722912386987506,0.001500082592858137,-2.0579710144927534,0.02409588052467243,0.00042474856498751345
-14.159420289855072,0.007885447189526164,0.0016308582181357575,-14.159420289855072,0.004062727722733536,0.001690425736478225,-1.9855072463768115,0.02742165007076312,0.0005637516348707567
-13.956521739130434,0.008842932716002398,0.0019702482087664234,-13.956521739130434,0.004722875469841592,0.0019316759026735395,-1.9130434782608696,0.031034664792617073,0.0007438904705490549
-13.753623188405797,0.0099476050282115,0.0024096689334776994,-13.753623188405797,0.005456741095861335,0.002206082616467191,-1.8405797101449275,0.03499738734959184,0.0009866947927811883
-13.55072463768116,0.011260560527778445,0.002941975339835257,-13.55072463768116,0.0062857445854673935,0.0025161019184220196,-1.7681159420289854,0.0394718409957025,0.001310823290617129
-13.347826086956522,0.012750016743150894,0.0034403427471297555,-13.347826086956522,0.007238105612714027,0.0029338520905195977,-1.6956521739130435,0.04471736745463246,0.0017399912411101722
-13.144927536231883,0.014553903429512498,0.0037779464746518425,-13.144927536231883,0.008350654223192856,0.0035506531864146055,-1.6231884057971013,0.051056323208458654,0.002328098976000755
-12.942028985507246,0.016629021110966747,0.004192359515842965,-12.942028985507246,0.009681178145342619,0.0043579090641371,-1.5507246376811594,0.058847086091978106,0.0031744149207784634
-12.73913043478261,0.018701978818626144,0.0049586663894248175,-12.73913043478261,0.011289930717348781,0.005249451788447962,-1.4782608695652173,0.06848456227941334,0.004400913874031341
-12.53623188405797,0.020808570403947818,0.005916103415625003,-12.53623188405797,0.013208425513786617,0.006185649795719552,-1.4057971014492754,0.08042218782098616,0.0061051276430779036
-12.333333333333332,0.023313214302886777,0.006827097601002055,-12.333333333333332,0.015441863430215601,0.007286737435323619,-1.3333333333333333,0.09520541274325242,0.0083495684479621
-12.130434782608695,0.02633440050647318,0.007861343940871277,-12.130434782608695,0.017983098050885465,0.008690364616986588,-1.2608695652173911,0.11349777871662643,0.011233934343130364
-11.927536231884059,0.029654588796799927,0.00928856816462862,-11.927536231884059,0.020819936165095643,0.010362816602073116,-1.1884057971014492,0.13606422264455734,0.015009275871775855
-11.72463768115942,0.0331333808772037,0.011240953742309222,-11.72463768115942,0.02395996722784778,0.012188212931300135,-1.115942028985507,0.16370660524063058,0.02014087998733946
-11.521739130434781,0.03676799963851972,0.013591675993203729,-11.521739130434781,0.027441350402487574,0.0142319735942051,-1.0434782608695652,0.19721792391031098,0.027298856834792388
-11.318840579710145,0.0405939303645199,0.015785207090542944,-11.318840579710145,0.031298854638958984,0.016747517321590105,-0.9710144927536231,0.2374100380725584,0.037348135188691636
-11.115942028985508,0.04471701177115055,0.01795373050436198,-11.115942028985508,0.03554931542881383,0.019904534188705914,-0.8985507246376812,0.28512037361104614,0.051361951112872894
-10.91304347826087,0.04926869369221104,0.020936789895694648,-10.91304347826087,0.04024104331302695,0.02359026960607672,-0.8260869565217392,0.34099535312077256,0.07057598265566142
-10.71014492753623,0.05428106716693873,0.024575407847877106,-10.71014492753623,0.045470890524461655,0.027512343108517162,-0.7536231884057969,0.40498080280610493,0.09624228565912785
