binning_ppost,ppost_gen,ppost_data,binning_pgen,pgen_gen,pgen_data,binning_Q,Q_gen,Q_data
-17.0,0.0006773927104364473,0.0005214378446076248,-17.0,0.0002912533568395487,0.0008389586599237004,-3.0,0.001204865714080963,1.6329476119559972e-05
-16.797101449275363,0.0012946372611851076,0.0009771350254524462,-16.797101449275363,0.00047894996458058955,0.0013435708287503104,-2.927536231884058,0.002154195112004758,3.031562299452032e-05
-16.594202898550726,0.0018234726374951951,0.001331816829292939,-16.594202898550726,0.0005911364427706368,0.0015684088390854533,-2.8550724637681157,0.002734136344733108,4.026766871059951e-05
-16.391304347826086,0.002276348626326765,0.0015906027813755736,-16.391304347826086,0.0006990080564149152,0.0017037482239473886,-2.782608695652174,0.002998013950251865,4.602678465074206e-05
-16.18840579710145,0.002691043905688935,0.0017854929353074635,-16.18840579710145,0.0008262965605151625,0.0018620079885036818,-2.710144927536232,0.0030886230308392903,4.9399585619650706e-05
-15.985507246376812,0.0031083043440633482,0.0019527366749242205,-15.985507246376812,0.000971769136629729,0.0020428243172036257,-2.63768115942029,0.003153267090361474,5.3471815360913664e-05
-15.782608695652174,0.0035579514628273036,0.0021175539369545082,-15.782608695652174,0.001149911401447993,0.0021985373729049894,-2.5652173913043477,0.0033047839387578344,6.128744617754802e-05
-15.579710144927535,0.004056504381661038,0.002292310598894528,-15.579710144927535,0.0013745925624385042,0.0023426083309838258,-2.4927536231884058,0.0036142465424505365,7.506109299146318e-05
-15.376811594202898,0.004612221760773612,0.0024832127697252074,-15.376811594202898,0.0016334844351847681,0.00247722008474435,-2.420289855072464,0.004115494696801445,9.63460705345961e-05
-15.173913043478262,0.005233181585255056,0.002696619394822518,-15.173913043478262,0.001914875244491121,0.0026522153646330255,-2.3478260869565215,0.004822474018973769,0.0001263790077336232
-14.971014492753623,0.0059337298617999175,0.002939659779156315,-14.971014492753623,0.00221167628431809,0.0029345362319794224,-2.2753623188405796,0.005754789118521134,0.00016589624765721758
-14.768115942028984,0.006734051979834188,0.0032167836842109587,-14.768115942028984,0.002507552710313827,0.0032368669546145516,-2.2028985507246377,0.006950816512601882,0.00021511223322412534
-14.565217391304348,0.007651973897967063,0.0035278754225597387,-14.565217391304348,0.0028311675512466567,0.003530829919583479,-2.1304347826086953,0.008456633619762063,0.0002751628076177844
-14.36231884057971,0.008694194066518035,0.0038711360250225633,-14.36231884057971,0.0032648114380966434,0.003883003372665058,-2.0579710144927534,0.010306913156848941,0.0003510309151267941
-14.159420289855072,0.009856680979662328,0.004248236456968424,-14.159420289855072,0.0038707417021670706,0.00424172550565932,-1.9855072463768115,0.012526668234658724,0.000454159744752739
-13.956521739130434,0.011135833875867529,0.0046665656887168745,-13.956521739130434,0.0046532732080037074,0.004570978579046558,-1.9130434782608696,0.01516483112439855,0.0006022494587232235
-13.753623188405797,0.012540970672036538,0.00513651591797948,-13.753623188405797,0.005533505575341005,0.004962807927154892,-1.8405797101449275,0.018341833403582978,0.0008152444627677012
-13.55072463768116,0.014097269879528508,0.005667569206619693,-13.55072463768116,0.006432846628523851,0.005540547021673023,-1.7681159420289854,0.02227985984218589,0.0011105731618928517
-13.347826086956522,0.01583809868709357,0.006269030352702718,-13.347826086956522,0.0073947532176203935,0.006321659009034768,-1.6956521739130435,0.02729188782328357,0.0015040411892106068
-13.144927536231883,0.017794864354796155,0.006955985639410295,-13.144927536231883,0.008470387307959059,0.0071882676508119945,-1.6231884057971013,0.033728513407108626,0.0020202783946535567
-12.942028985507246,0.01999095341371082,0.007753609007131543,-12.942028985507246,0.009668378628631354,0.008062152603603287,-1.5507246376811594,0.04191169521499982,0.002708883506755702
-12.73913043478261,0.022439005185634034,0.008693179049089464,-12.73913043478261,0.011087969064190017,0.008978967791377648,-1.4782608695652173,0.05210136885506106,0.0036569288505304176
-12.53623188405797,0.025139747283686918,0.009802530172361395,-12.53623188405797,0.012867542484710183,0.010043492092737904,-1.4057971014492754,0.06452569510036435,0.004991775791136386
-12.333333333333332,0.028085759555617217,0.011100907063359332,-12.333333333333332,0.01504809010337667,0.011400160281313586,-1.3333333333333333,0.07946422975565878,0.006878154618753023
-12.130434782608695,0.03127282762556975,0.01260342336329055,-12.130434782608695,0.017535301309403277,0.013091174960986328,-1.2608695652173911,0.097326218496535,0.009519186491731191
-11.927536231884059,0.03471197800765028,0.014328922651836794,-11.927536231884059,0.020286643866553128,0.015072150634570226,-1.1884057971014492,0.11864695300257883,0.013164554853226328
-11.72463768115942,0.038429845635828186,0.016301375377133377,-11.72463768115942,0.023396120181002025,0.017336174806601965,-1.115942028985507,0.1439791238797026,0.018120689162695373
-11.521739130434781,0.04245359633472931,0.018543938228979245,-11.521739130434781,0.02682243083495473,0.01975845874319003,-1.0434782608695652,0.17376452023581943,0.024763533113850413
-11.318840579710145,0.04679116851945681,0.021075755525521885,-11.318840579710145,0.030572356329840206,0.022329907055566735,-0.9710144927536231,0.20831018077211266,0.033567379314370635
-11.115942028985508,0.051422315917699614,0.023920943907437608,-11.115942028985508,0.03482804559041207,0.025404512274567193,-0.8985507246376812,0.24789952820926292,0.045168123632644906
-10.91304347826087,0.056305512030854,0.02712584861374135,-10.91304347826087,0.0395827181152414,0.029114339445097108,-0.8260869565217392,0.2929701806811978,0.06048098100301672
-10.71014492753623,0.06139104896004559,0.03076813554886289,-10.71014492753623,0.04480647805711822,0.03330149261815088,-0.7536231884057969,0.3442785588864429,0.08087935802002627
